UserID,Venue category name,Latitude,Longitude,Time,Timegap,Trajectory
1,Bar,40.76066702,-73.99494767,4/13/2012 21:11:20,0 days 09:29:39.000000000,2
1,Korean Restaurant,40.76410356,-73.98672473,4/13/2012 23:07:56,0 days 01:56:36.000000000,2
1,Bar,40.76064468,-73.98606474,4/14/2012 0:45:13,0 days 01:37:17.000000000,2
1,Seafood Restaurant,40.74588914,-73.98852104,6/16/2012 17:29:30,4 days 03:09:07.000000000,15
1,Seafood Restaurant,40.75250499,-73.97758004,6/16/2012 19:33:50,0 days 02:04:20.000000000,15
1,Mexican Restaurant,40.71788828,-74.00566835,7/2/2012 12:00:17,4 days 22:44:14.000000000,16
1,Coffee Shop,40.720087,-74.003961,7/2/2012 14:16:36,0 days 02:16:19.000000000,16
1,Airport,40.64508936,-73.78452301,8/10/2012 12:40:07,4 days 17:05:00.000000000,20
1,Steakhouse,40.64085611,-73.78920078,8/10/2012 13:05:07,0 days 00:25:00.000000000,20
2,Bridge,40.60679958,-74.04416981,4/28/2012 21:01:09,1 days 01:45:46.000000000,26
2,Bar,40.624587,-74.142421,4/28/2012 22:53:24,0 days 01:52:15.000000000,26
2,Coffee Shop,40.74064692,-73.99104044,5/10/2012 16:43:21,1 days 20:19:33.000000000,28
2,Department Store,40.7221271,-73.99930899,5/10/2012 18:17:53,0 days 01:34:32.000000000,28
2,Cosmetics Shop,40.72387965,-73.99822542,5/10/2012 18:23:18,0 days 00:05:25.000000000,28
2,Subway,40.64609878,-73.90266895,5/21/2012 11:59:47,2 days 23:41:47.000000000,33
2,Clothing Store,40.75707004,-73.98477919,5/21/2012 12:55:13,0 days 00:55:26.000000000,33
2,Design Studio,40.75445144,-73.99086827,5/21/2012 13:41:49,0 days 00:46:36.000000000,33
2,Bar,40.58114627,-74.11184947,6/11/2012 18:50:02,0 days 22:19:36.000000000,38
2,Bar,40.70876622,-73.95775191,6/11/2012 20:13:00,0 days 01:22:58.000000000,38
2,Gym / Fitness Center,40.64662158,-73.91352093,7/2/2012 9:38:49,4 days 20:15:42.000000000,40
2,Subway,40.64609878,-73.90266895,7/2/2012 10:40:48,0 days 01:01:59.000000000,40
2,Plaza,40.75648987,-73.98626804,7/2/2012 13:28:32,0 days 02:47:44.000000000,40
2,Coffee Shop,40.75755034,-73.98486528,7/2/2012 13:58:48,0 days 00:30:16.000000000,40
2,Train Station,40.59009477,-73.97417879999999,7/5/2012 7:40:56,1 days 11:58:07.000000000,42
